RoleType	Type	ShowID	CanUseInCreate	RewardsPrice	CoinPrice	Discount	DisStartTime	DisEndTime	ColorID0	ColorID1	ColorID2	ColorID3	ColorID4	ColorID5	ColorID6	ColorID7	ColorID8	ColorID9	ColorID10	ColorID11	ColorID12	ColorID13	ColorID14	ColorID15	ColorID16	ColorID17	ColorID18	ColorID19	ColorID20	ColorID21	ColorID22	ColorID23	ColorID24	ColorID25	ColorID26	ColorID27	ColorID28	ColorID29	ColorID30
1	0	1	1	0	0	50	1513036800	1513123200	0																														
1	0	2	1	0	500	50	1513036800	1513123200	0																														
1	0	3	1	0	500	50	1513036800	1513123200	0																														
1	0	4	1	0	500	50	1513036800	1513123200	0																														
1	0	5	1	0	500	50	1513036800	1513123200	0																														
1	0	6	1	0	500	50	1513036800	1513123200	0																														
1	1	1	1	0	0	50	1513036800	1513123200	0																														
1	1	2	1	0	500	50	1513036800	1513123200	0	1	2	8	9	5	7																								
1	1	3	1	0	500	50	1513036800	1513123200	0	1	2	8	9	5	7																								
1	1	4	1	0	500	50	1513036800	1513123200	0	1	2	8	9	5	7																								
1	1	5	1	0	500	50	1513036800	1513123200	0	1	2	8	9	5	7																								
1	1	6	1	0	3800	50	1513036800	1513123200	0	1	2	8	9	5	7																								
1	1	7	1	0	500	50	1513036800	1513123200	0	1	2	8	9	5	7																								
1	1	8	0	0	3800	50	1513036800	1513123200	0	1	2	8	9	5	7																								
1	1	9	0	0	3800	50	1513036800	1513123200	0	1	2	8	9	5	7																								
1	2	1	1	0	0	50	1513036800	1513123200	0																														
1	2	2	1	0	500	50	1513036800	1513123200	0	1	2	8	9	5	7																								
1	2	3	1	0	500	50	1513036800	1513123200	0	1	2	8	9	5	7																								
1	2	4	1	0	500	50	1513036800	1513123200	0	1	2	8	9	5	7																								
1	2	5	1	0	500	50	1513036800	1513123200	0	1	2	8	9	5	7																								
1	2	6	1	0	3800	50	1513036800	1513123200	0	1	2	8	9	5	7																								
1	2	7	1	0	500	50	1513036800	1513123200	0	1	2	8	9	5	7																								
1	2	8	0	0	3800	50	1513036800	1513123200	0	1	2	8	9	5	7																								
1	2	9	0	0	3800	50	1513036800	1513123200	0	1	2	8	9	5	7																								
1	3	0	1	0	0	50	1513036800	1513123200	0																														
1	3	1	1	0	300	50	1513036800	1513123200	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16														
1	3	2	1	0	300	50	1513036800	1513123200	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16														
1	3	3	1	0	300	50	1513036800	1513123200	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16														
1	3	4	0	0	1000	50	1513036800	1513123200	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16														
1	3	5	1	0	1000	50	1513036800	1513123200	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16														
1	3	6	0	0	1000	50	1513036800	1513123200	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16														
1	3	7	0	0	1000	50	1513036800	1513123200	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16														
1	3	8	0	0	1000	50	1513036800	1513123200	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16														
1	3	9	0	0	1000	50	1513036800	1513123200	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16														
1	4	1	1	0	0	50	1513036800	1513123200	0																														
1	4	2	1	0	500	50	1513036800	1513123200	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15															
1	4	3	1	0	500	50	1513036800	1513123200	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15															
1	4	4	1	0	500	50	1513036800	1513123200	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15															
1	4	5	1	0	500	50	1513036800	1513123200	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15															
1	4	6	1	0	500	50	1513036800	1513123200	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15															
1	4	7	1	0	1000	50	1513036800	1513123200	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15															
1	4	8	0	0	500	50	1513036800	1513123200	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15															
1	4	9	1	0	500	50	1513036800	1513123200	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15															
1	4	10	0	0	500	50	1513036800	1513123200	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15															
1	4	11	1	0	500	50	1513036800	1513123200	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15															
1	4	12	0	0	500	50	1513036800	1513123200	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15															
1	5	0	0	0	1000	50	1513036800	1513123200	0																														
1	5	1	1	0	0	50	1513036800	1513123200	0																														
1	5	2	1	0	500	50	1513036800	1513123200	0	1	2	3	4	9																									
1	5	3	1	0	500	50	1513036800	1513123200	0	1	2	3	4	9																									
1	5	4	1	0	500	50	1513036800	1513123200	0	1	2	3	4	9																									
1	5	5	1	0	1000	50	1513036800	1513123200	0	1	2	4	9																										
1	5	6	1	0	500	50	1513036800	1513123200	0	1	2	3	4	9																									
1	5	7	1	0	500	50	1513036800	1513123200	0	1	2	3	4	9																									
1	5	8	1	0	500	50	1513036800	1513123200	0	1	2	3	4	9																									
1	5	9	0	0	1000	50	1513036800	1513123200	0	1	2	3	4	9																									
1	5	10	1	0	500	50	1513036800	1513123200	0	1	2	3	4	9																									
1	5	11	0	0	500	50	1513036800	1513123200	0	1	2	3	4	9																									
1	5	12	0	0	1000	50	1513036800	1513123200	0	1	2	3	4	9																									
1	5	13	1	0	500	50	1513036800	1513123200	0	1	2	3	4	9																									
1	5	14	0	0	500	50	1513036800	1513123200	0	1	2	3	4	9																									
1	5	15	0	0	3800	50	1513036800	1513123200	1																														
1	5	16	0	0	3800	50	1513036800	1513123200	1																														
1	5	17	0	0	3800	50	1513036800	1513123200	1																														
1	5	18	0	0	3800	50	1513036800	1513123200	1																														
1	5	19	0	0	3800	50	1513036800	1513123200	1																														
1	5	20	0	0	1000	50	1513036800	1513123200	0	1	2	3	4	9																									
1	6	0	1	0	0	50	1513036800	1513123200	0																														
1	6	1	1	0	500	50	1513036800	1513123200	0	1	2	3	4	5																									
1	6	2	1	0	500	50	1513036800	1513123200	0	1	2	3	4	5																									
1	6	3	1	0	500	50	1513036800	1513123200	0	1	2	3	4	5																									
1	6	4	0	0	1000	50	1513036800	1513123200	0	1	2	3	4	5																									
1	6	5	1	0	500	50	1513036800	1513123200	0	1	2	3	4	5																									
1	6	6	0	0	500	50	1513036800	1513123200	0	1	2	3	4	5																									
1	6	7	1	0	1000	50	1513036800	1513123200	0	1	2	3	4	5																									
1	6	8	0	0	1000	50	1513036800	1513123200	0	1	2	3	4	5																									
1	6	9	0	0	1000	50	1513036800	1513123200	0	1	2	3	4	5																									
1	6	10	1	0	1000	50	1513036800	1513123200	0	1	2	3	4	5																									
1	6	11	1	0	1000	50	1513036800	1513123200	0	1	2	3	4	5																									
1	6	12	1	0	1000	50	1513036800	1513123200	0	1	2	3	4	5																									
1	6	13	0	0	3800	50	1513036800	1513123200	0																														
1	6	14	0	0	3800	50	1513036800	1513123200	0																														
1	6	15	0	0	3800	50	1513036800	1513123200	0																														
1	6	16	0	0	3800	50	1513036800	1513123200	0																														
1	6	17	0	0	3800	50	1513036800	1513123200	0																														
1	6	18	0	0	1000	50	1513036800	1513123200	0																														
1	7	1	1	0	0	50	1513036800	1513123200	0																														
1	7	2	1	0	300	50	1513036800	1513123200	0	1	2	3	4	12	13	14	15																						
1	7	3	1	0	300	50	1513036800	1513123200	0	1	2	3	4	12	13	14	15																						
1	7	4	1	0	300	50	1513036800	1513123200	0	1	2	3	4	12	13	14	15																						
1	7	5	1	0	300	50	1513036800	1513123200	0	1	2	3	4	12	13	14	15																						
1	7	6	1	0	300	50	1513036800	1513123200	0	1	2	3	4	12	13	14	15																						
1	7	7	0	0	300	50	1513036800	1513123200	0	1	2	3	4	12	13	14	15																						
1	7	8	0	0	500	50	1513036800	1513123200	0	1	2	3	4	12	13	14	15																						
1	7	9	0	0	500	50	1513036800	1513123200	0	1	2	3	4	12	13	14	15																						
1	7	10	1	0	300	50	1513036800	1513123200	0	1	2	3	4	12	13	14	15																						
1	7	11	1	0	300	50	1513036800	1513123200	0	1	2	3	4	12	13	14	15																						
1	7	12	1	0	300	50	1513036800	1513123200	0	1	2	3	4	12	13	14	15																						
1	7	13	1	0	300	50	1513036800	1513123200	0	1	2	3	4	12	13	14	15																						
1	8	0	1	0	1000	50	1513036800	1513123200	0																														
1	8	1	1	0	0	50	1513036800	1513123200	0																														
1	8	2	1	0	500	50	1513036800	1513123200	0	1	2	3	5	6	7	8	9	10	11																				
1	8	3	1	0	500	50	1513036800	1513123200	0	1	2	3	5	6	7	8	9	10	11																				
