src_skill_id	condition_skill	dst_skill_id1	dst_skill_id2
0	0	0	0
549		537	
3240		3103	
3357		3111	
13051		13050	
13059		13044	
13060		13044	
13069		13068	
13071		13070	
13119		13044	
13152		13053	
13153		13053	
13180		13049	
13387		13068	
13458		13048	
14162		14081	
14449		14064	
14450		14065	
14451		14067	
14452		14068	
14453		14066	
14522		14083	
15127		2707	
15128		3973	
15166		15165	
16454		16168	
16459		16169	
16608		16166	
16871		16870	
16872		16870	
16873		16870	
16874		16870	
16875		16870	
17078		16601	
17079		16601	
17571		14081	
18707		14066	
